"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All states (including the District of Columbia) are required to provide data to The Centers for Medicare & Medicaid Services (CMS) on a range of indicators related to key application, eligibility, and enrollment processes within the state Medicaid and Children’s Health Insurance Programs (CHIP). These data reflect enrollment activity for all populations receiving comprehensive Medicaid and CHIP benefits in all states, as well as state program performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://data.medicaid.gov/Enrollment/State-Medicaid-and-CHIP-Applications-Eligibility-D/n5ce-jxme/data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total New Determinations,Total New Determinations - footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
NE,Nebraska,8/1/2017,N,P,N,"6,814",,N/A,,"6,814",,"8,525",,991,,"9,516",,159336,,"240,376",,35.6411,-79.8431,"(35.6411, -79.8431)",208474,,31902,
NE,Nebraska,8/1/2017,N,U,Y,"6,814",,N/A,,"6,814",,"8,525",,991,,"9,516",,163228,,"246,250",,35.6411,-79.8431,"(35.6411, -79.8431)",213714,,32536,
NV,Nevada,8/1/2017,Y,P,Y,"22,018",Includes Renewals and/or Redeterminations,N/A,,"22,018",Includes Renewals and/or Redeterminations,"13,766","Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",71,,"13,837",,304207,,"636,806",,40.314,-74.5089,"(40.314, -74.5089)",597226,,39580,
NH,New Hampshire,8/1/2017,Y,P,N,"8,913",,N/A,,"8,913",,"5,554",,511,,"6,065",,91789,,"184,887",,47.5362,-99.793,"(47.5362, -99.793)",171162,,13725,
NH,New Hampshire,8/1/2017,Y,U,Y,"8,913",,N/A,,"8,913",,"5,554",,511,,"6,065",,93131,,"188,058",,47.5362,-99.793,"(47.5362, -99.793)",174120,,13938,
NJ,New Jersey,8/1/2017,Y,P,N,"31,246",,N/A,,"31,246",,"12,656",Does Not Include All Medicaid Determinations Made At Application,"4,664",Does Not Include All CHIP Determinations Made At Application,"17,320",Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,830494,,"1,745,598",,41.1289,-98.2883,"(41.1289, -98.2883)",1544196,,201402,
NJ,New Jersey,8/1/2017,Y,U,Y,"31,246",,N/A,,"31,246",,"12,656",Does Not Include All Medicaid Determinations Made At Application,"4,664",Does Not Include All CHIP Determinations Made At Application,"17,320",Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,842455,,"1,773,017",,41.1289,-98.2883,"(41.1289, -98.2883)",1570246,,202771,
NM,New Mexico,8/1/2017,Y,P,Y,"14,151",,N/A,,"14,151",,"19,999",,"1,982",,"21,981",,349511,,"760,288",,43.4108,-71.5653,"(43.4108, -71.5653)",748941,,11347,
NY,New York,8/1/2017,Y,P,N,,,509597,Includes Renewals and/or Redeterminations,"509,597",Includes Renewals and/or Redeterminations,"104,737",Includes Renewals and/or Redeterminations,"10,957",Includes Renewals and/or Redeterminations,"115,694",Includes Renewals and/or Redeterminations,2465452,Includes Limited-Benefit Enrollees; Includes Retroactive Enrollments,"6,395,407",Includes Limited-Benefit Enrollees; Includes Retroactive Enrollments,34.8375,-106.2371,"(34.8375, -106.2371)",5817754,Includes Limited-Benefit Enrollees; Includes Retroactive Enrollments,577653,
NY,New York,8/1/2017,Y,U,Y,,,509597,Includes Renewals and/or Redeterminations,"509,597",Includes Renewals and/or Redeterminations,"112,196",Includes Renewals and/or Redeterminations,"11,079",Includes Renewals and/or Redeterminations,"123,275",Includes Renewals and/or Redeterminations,2479082,Includes Limited-Benefit Enrollees,"6,427,530",Includes Limited-Benefit Enrollees,34.8375,-106.2371,"(34.8375, -106.2371)",5845986,Includes Limited-Benefit Enrollees,581544,
NC,North Carolina,8/1/2017,N,P,N,"22,824",,N/A,,"22,824",,"35,607",,"3,798",,"39,405",,1415965,,"2,033,708",,32.7673,-89.6812,"(32.7673, -89.6812)",1807346,,226362,
NC,North Carolina,8/1/2017,N,U,Y,"22,824",,N/A,,"22,824",,"35,607",,"3,798",,"39,405",,1451108,,"2,092,636",,32.7673,-89.6812,"(32.7673, -89.6812)",1859050,,233586,
ND,North Dakota,8/1/2017,Y,P,Y,"2,201",,N/A,,"2,201",,"2,380",,50,,"2,430",,43789,,"93,407",,46.9048,-110.3261,"(46.9048, -110.3261)",91467,,1940,
OH,Ohio,8/1/2017,Y,P,N,"60,709",Includes Renewals and/or Redeterminations,N/A,,"60,709",Includes Renewals and/or Redeterminations,"51,904",Includes CHIP; Includes Renewals and/or Redeterminations,"3,552",,"55,456",Includes Renewals and/or Redeterminations,1234004,,"2,948,633",,38.4199,-117.1219,"(38.4199, -117.1219)",2732955,,215678,
OH,Ohio,8/1/2017,Y,U,Y,"60,709",Includes Renewals and/or Redeterminations,N/A,,"60,709",Includes Renewals and/or Redeterminations,"51,904",Includes CHIP; Includes Renewals and/or Redeterminations,"3,552",,"55,456",Includes Renewals and/or Redeterminations,1234004,,"2,948,633",,38.4199,-117.1219,"(38.4199, -117.1219)",2732955,,215678,
OK,Oklahoma,8/1/2017,N,P,Y,"54,266",,N/A,,"54,266",,"48,313",,"9,380",,"57,693",,515701,,"794,158",,42.1497,-74.9384,"(42.1497, -74.9384)",678950,,115208,
OR,Oregon,8/1/2017,Y,P,N,"25,086",Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,"25,086",Does Not Include All Non-MAGI Applications,"43,176","Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application","3,918",,"47,094",Does Not Include All Non-MAGI Determinations Made At Application,412310,,"964,897",,40.3736,-82.7755,"(40.3736, -82.7755)",846779,,118118,
OR,Oregon,8/1/2017,Y,U,Y,"26,213",Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,"26,213",Does Not Include All Non-MAGI Applications,"42,006","Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application","3,766",,"45,772",Does Not Include All Non-MAGI Determinations Made At Application,416977,,"974,751",,40.3736,-82.7755,"(40.3736, -82.7755)",855736,,119015,
PA,Pennsylvania,8/1/2017,Y,P,N,"76,719",Includes Renewals and/or Redeterminations,N/A,,"76,719",Includes Renewals and/or Redeterminations,"45,488","Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals","9,447","Count is of Households, Not Individuals","54,935","Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",1390089,,"2,946,983",,35.5376,-96.9247,"(35.5376, -96.9247)",2770306,,176677,
PA,Pennsylvania,8/1/2017,Y,U,Y,"92,808",Includes Renewals and/or Redeterminations,N/A,,"92,808",Includes Renewals and/or Redeterminations,"54,935","Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals","9,447","Count is of Households, Not Individuals","64,382","Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",1396632,,"2,964,496",,35.5376,-96.9247,"(35.5376, -96.9247)",2787819,,176677,
RI,Rhode Island,8/1/2017,Y,P,N,"3,889","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,"3,889","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)","5,775",,754,,"6,529",,122070,,"313,546",,44.5672,-122.1269,"(44.5672, -122.1269)",287109,,26437,
RI,Rhode Island,8/1/2017,Y,U,Y,"3,889","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,"3,889","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)","5,775",,754,,"6,529",,122969,,"315,776",,44.5672,-122.1269,"(44.5672, -122.1269)",289160,,26616,
SC,South Carolina,8/1/2017,N,P,N,"22,883",,N/A,,"22,883",,"9,708",Does Not Include All Medicaid Determinations Made At Application,171,Does Not Include All CHIP Determinations Made At Application,"9,879",Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,635378,,"1,008,737",,40.5773,-77.264,"(40.5773, -77.264)",930239,,78498,
SC,South Carolina,8/1/2017,N,U,Y,"22,883",,N/A,,"22,883",,"9,708",Does Not Include All Medicaid Determinations Made At Application,171,Does Not Include All CHIP Determinations Made At Application,"9,879",Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,648809,,"1,033,865",,40.5773,-77.264,"(40.5773, -77.264)",956011,,77854,
SD,South Dakota,8/1/2017,N,P,Y,"2,950",Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,"2,950",Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,"1,818","Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations","1,818","Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",81505,,"118,610",,18.2766,-66.335,"(18.2766, -66.335)",102894,,15716,
TN,Tennessee,8/1/2017,N,P,N,630,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,N/A,,630,Does Not Include All Medicaid Applications,,Does Not Include All Medicaid Determinations Made At Application,522,,522,Does Not Include All Medicaid Determinations Made At Application,,,"1,496,472",,41.6772,-71.5101,"(41.6772, -71.5101)",1416930,,79542,
TN,Tennessee,8/1/2017,N,U,Y,630,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,N/A,,630,Does Not Include All Medicaid Applications,,Does Not Include All Medicaid Determinations Made At Application,522,,522,Does Not Include All Medicaid Determinations Made At Application,,,"1,505,215",,41.6772,-71.5101,"(41.6772, -71.5101)",1425855,,79360,
TX,Texas,8/1/2017,N,P,N,"133,927",,N/A,,"133,927",,"100,106",,"16,031",,"116,137",,3494085,,"4,421,285",,33.8191,-80.9066,"(33.8191, -80.9066)",3841047,,580238,
TX,Texas,8/1/2017,N,U,Y,"139,264",,N/A,,"139,264",,"100,130",,"16,031",,"116,161",,3513218,,"4,444,789",,33.8191,-80.9066,"(33.8191, -80.9066)",3864515,,580274,
UT,Utah,8/1/2017,N,P,N,"27,943","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,"27,943","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM","48,486",Includes CHIP,,,"48,486",,214918,,"306,271",Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",258295,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,47976,
UT,Utah,8/1/2017,N,U,Y,"28,450","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,"28,450","Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM","48,486",Includes CHIP,,,"48,486",,216203,,"308,312",Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",260162,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,48150,
VT,Vermont,8/1/2017,Y,P,N,"3,392",,1618,,"5,010",Includes Renewals and/or Redeterminations,"3,218",Includes Renewals and/or Redeterminations,58,,"3,276",,64074,,"165,370",,31.106,-97.6475,"(31.106, -97.6475)",160705,,4665,
VT,Vermont,8/1/2017,Y,U,Y,"3,392",,1624,,"5,016",Includes Renewals and/or Redeterminations,"4,642",Includes Renewals and/or Redeterminations,96,,"4,738",,64487,,"166,295",,31.106,-97.6475,"(31.106, -97.6475)",161590,,4705,
VA,Virginia,8/1/2017,N,P,N,"24,768",Includes Renewals and/or Redeterminations,N/A,,"24,768",Includes Renewals and/or Redeterminations,"16,059",Includes Renewals and/or Redeterminations,627,Includes Renewals and/or Redeterminations,"16,686",Includes Renewals and/or Redeterminations,665265,,"1,008,235",,35.7449,-86.7489,"(35.7449, -86.7489)",882612,,125623,
VA,Virginia,8/1/2017,N,U,Y,"25,641",Includes Renewals and/or Redeterminations,N/A,,"25,641",Includes Renewals and/or Redeterminations,"16,157",Includes Renewals and/or Redeterminations,624,Includes Renewals and/or Redeterminations,"16,781",Includes Renewals and/or Redeterminations,675712,,"1,023,102",,35.7449,-86.7489,"(35.7449, -86.7489)",895340,,127762,
WA,Washington,8/1/2017,Y,P,N,"17,852",,72034,,"89,886",,"44,939",,"1,458",,"46,397",,839304,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),"1,776,259",Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1722047,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),54212,
WA,Washington,8/1/2017,Y,U,Y,"19,806",,73543,,"93,349",,"44,949",,"1,460",,"46,409",,842525,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),"1,781,945",Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1727350,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),54595,
WV,West Virginia,8/1/2017,Y,P,N,"24,847",,N/A,,"24,847",,"13,061",,682,,"13,743",,225188,,"561,892",,18.0001,-64.8199,"(18.0001, -64.8199)",529607,,32285,
WV,West Virginia,8/1/2017,Y,U,Y,"24,847",,N/A,,"24,847",,"13,061",,682,,"13,743",,225188,,"561,892",,18.0001,-64.8199,"(18.0001, -64.8199)",529607,,32285,
WI,Wisconsin,8/1/2017,N,P,N,"26,159",Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,"26,159",Does Not Include All Applications for Limited-Benefit Programs,"20,199","Count is of Households, Not Individuals","1,179",,"21,378",,489894,,"1,037,812",,37.768,-78.2057,"(37.768, -78.2057)",974977,,62835,
WI,Wisconsin,8/1/2017,N,U,Y,"26,508",Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,"26,508",Does Not Include All Applications for Limited-Benefit Programs,"20,199","Count is of Households, Not Individuals","1,179",,"21,378",,489894,,"1,037,812",,37.768,-78.2057,"(37.768, -78.2057)",974977,,62835,
WY,Wyoming,8/1/2017,N,P,Y,"1,712",Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,"1,712",Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,,,,,,,36924,,"60,072",,44.0407,-72.7093,"(44.0407, -72.7093)",55730,,4342,
AL,Alabama,7/1/2017,N,P,N,"17,118",,N/A,,"17,118",,"25,311",,"3,352",,"28,663",,624889,,"883,695",,32.799,-86.8073,"(32.799, -86.8073)",729625,,154070,
AL,Alabama,7/1/2017,N,U,Y,"17,118",,N/A,,"17,118",,"25,313",,"3,352",,"28,665",,632055,,"892,956",,32.799,-86.8073,"(32.799, -86.8073)",735382,,157574,
AK,Alaska,7/1/2017,Y,P,N,"3,187",Includes Renewals and/or Redeterminations,N/A,,"3,187",Includes Renewals and/or Redeterminations,"3,159",Includes Renewals and/or Redeterminations; Includes CHIP,,,"3,159",Includes Renewals and/or Redeterminations,89358,,"193,019",,61.385,-152.2683,"(61.385, -152.2683)",180641,,12378,
AK,Alaska,7/1/2017,Y,U,Y,"3,265",Includes Renewals and/or Redeterminations,N/A,,"3,265",Includes Renewals and/or Redeterminations,"3,159",Includes Renewals and/or Redeterminations; Includes CHIP,,,"3,159",Includes Renewals and/or Redeterminations,90562,,"196,121",,61.385,-152.2683,"(61.385, -152.2683)",183516,,12605,
AZ,Arizona,7/1/2017,Y,P,N,,,N/A,,,,,,,,,,,,"1,745,097",,14.2417,-170.7197,"(14.2417, -170.7197)",1649135,,95962,
AZ,Arizona,7/1/2017,Y,U,Y,,,N/A,,,,,,,,,,,,"1,745,097",,14.2417,-170.7197,"(14.2417, -170.7197)",1649135,,95962,
AR,Arkansas,7/1/2017,Y,P,Y,,,N/A,,,,,,,,,,428473,,"909,062",Includes Private Option Enrollees,34.9513,-92.3809,"(34.9513, -92.3809)",828849,Includes Private Option Enrollees,80213,
CA,California,7/1/2017,Y,P,N,"148,595",Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,"148,595",,"148,682",Does Not Include All Medicaid Determinations Made At Application,"10,213",Does Not Include All CHIP Determinations Made At Application,"158,895",Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,5129215,,"12,182,095",,33.7712,-111.3877,"(33.7712, -111.3877)",10903473,,1278622,
CA,California,7/1/2017,Y,U,Y,"148,595",Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,"148,595",,"148,733",Does Not Include All Medicaid Determinations Made At Application,"10,213",Does Not Include All CHIP Determinations Made At Application,"158,946",Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,5170276,,"12,277,389",,33.7712,-111.3877,"(33.7712, -111.3877)",10988391,,1288998,
CO,Colorado,7/1/2017,Y,P,Y,"17,469",,1629,,"19,098",,"15,363",,215,,"15,578",,626771,,"1,399,170",,36.17,-119.7462,"(36.17, -119.7462)",1324076,,75094,
CT,Connecticut,7/1/2017,Y,P,Y,"3,718",Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Duplicates,4513,Does Not Include All Medicaid Applications Received By the SBM; Includes Duplicates; Includes Renewals and/or Redeterminations,"8,231",Does Not Include All Medicaid Applications; Includes Duplicates,"8,788",Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,113,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,"8,901",Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,318734,Does Not Include All Full-Benefit Child Medicaid enrollees ; Does Not Include All CHIP enrollees,"799,837",Does Not Include All Full-Benefit Medicaid enrollees; Does Not Include All CHIP enrollees,39.0646,-105.3272,"(39.0646, -105.3272)",782506,Does Not Include All Full-Benefit Medicaid enrollees,17331,Does Not Include All CHIP enrollees
DE,Delaware,7/1/2017,Y,P,Y,,,N/A,,,,,,,,,,105423,,"244,960",,38.8964,-77.0262,"(38.8964, -77.0262)",233685,,11275,
DC,District of Columbia,7/1/2017,Y,P,N,"2,133",Includes SBM data,1675,,"3,808",Includes Renewals and/or Redeterminations,"3,762",Includes Renewals and/or Redeterminations; Includes CHIP,,,"3,762",,,,"261,683",,41.5834,-72.7622,"(41.5834, -72.7622)",251053,,10630,
DC,District of Columbia,7/1/2017,Y,U,Y,"2,133",Includes SBM data,1675,,"3,808",Includes Renewals and/or Redeterminations,"3,762",Includes Renewals and/or Redeterminations; Includes CHIP,,,"3,762",,,,"261,683",,41.5834,-72.7622,"(41.5834, -72.7622)",251053,,10630,
FL,Florida,7/1/2017,N,P,Y,"286,222",Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,"286,222",Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,"129,725",Does Not Include All Determinations for Limited-Benefit Programs Made At Application,"16,752",,"146,477",Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2600220,,"4,357,190",,39.3498,-75.5148,"(39.3498, -75.5148)",4161549,,195641,
GA,Georgia,7/1/2017,N,P,N,"55,987",,N/A,,"55,987",,"29,474",,836,,"30,310",,1203311,,"1,718,560",,27.8333,-81.717,"(27.8333, -81.717)",1548721,,169839,
GA,Georgia,7/1/2017,N,U,Y,"55,987",,N/A,,"55,987",,"29,474",,836,,"30,310",,1229982,,"1,754,492",,27.8333,-81.717,"(27.8333, -81.717)",1577997,,176495,
HI,Hawaii,7/1/2017,Y,P,N,"4,649",,N/A,,"4,649",,"7,445",,403,,"7,848",,144691,,"346,198",,32.9866,-83.6487,"(32.9866, -83.6487)",322319,,23879,
HI,Hawaii,7/1/2017,Y,U,Y,"4,649",,N/A,,"4,649",,"7,445",,403,,"7,848",,144928,,"346,435",,32.9866,-83.6487,"(32.9866, -83.6487)",322552,,23883,
ID,Idaho,7/1/2017,N,P,N,"6,556",,,,"6,556",,"4,941",,244,,"5,185",,212510,,"293,207",,42.0046,-93.214,"(42.0046, -93.214)",270909,,22298,
ID,Idaho,7/1/2017,N,U,Y,"6,880",,,,"6,880",,"5,099",,252,,"5,351",,213399,,"294,571",,42.0046,-93.214,"(42.0046, -93.214)",272084,,22487,
IL,Illinois,7/1/2017,Y,P,N,"67,016",,N/A,,"67,016",,"38,361",,"11,994",,"50,355",,1417408,,"3,040,025",,44.2394,-114.5103,"(44.2394, -114.5103)",2789217,,250808,
IL,Illinois,7/1/2017,Y,U,Y,"67,016",,N/A,,"67,016",,"38,361",,"11,994",,"50,355",,1431681,,"3,073,670",,44.2394,-114.5103,"(44.2394, -114.5103)",2820285,,253385,
IN,Indiana,7/1/2017,Y,P,N,"74,080",,N/A,,"74,080",,"31,529",,"2,201",,"33,730",,787571,,"1,481,073",,40.3363,-89.0022,"(40.3363, -89.0022)",1378879,,102194,
IN,Indiana,7/1/2017,Y,U,Y,"74,080",,N/A,,"74,080",,"31,529",,"2,201",,"33,730",,800044,,"1,494,850",,40.3363,-89.0022,"(40.3363, -89.0022)",1391039,,103811,
IA,Iowa,7/1/2017,Y,P,N,"16,281",Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,"16,281",Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,"2,814",Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,"2,814",Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,324640,,"666,420",,21.1098,-157.5311,"(21.1098, -157.5311)",603890,,62530,
IA,Iowa,7/1/2017,Y,U,Y,"16,281",Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,"16,281",Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,"2,814",Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,"2,814",Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,324640,,"666,420",,21.1098,-157.5311,"(21.1098, -157.5311)",603890,,62530,
KS,Kansas,7/1/2017,N,P,Y,,,N/A,,,,,,,,,,274618,,"403,231",,39.8647,-86.2604,"(39.8647, -86.2604)",365846,,37385,
KY,Kentucky,7/1/2017,Y,P,Y,,,9644,,"9,644",,,,,,,,571129,,"1,256,677",,38.5111,-96.8005,"(38.5111, -96.8005)",1174620,,82057,
LA,Louisiana,7/1/2017,Y,P,Y,"23,628",,N/A,,"23,628",,"30,607",,"1,903",,"32,510",,753321,,"1,449,244",,37.669,-84.6514,"(37.669, -84.6514)",1328785,,120459,
ME,Maine,7/1/2017,N,P,N,"1,438",,N/A,,"1,438",,"8,978",,329,,"9,307",,110846,,"264,831",,39.0724,-76.7902,"(39.0724, -76.7902)",260625,,4206,
ME,Maine,7/1/2017,N,U,Y,"1,438",,N/A,,"1,438",,"8,978",,329,,"9,307",,111689,,"266,623",,39.0724,-76.7902,"(39.0724, -76.7902)",262362,,4261,
MD,Maryland,7/1/2017,Y,P,N,"6,711",,85553,Includes Renewals and/or Redeterminations,"92,264",Includes Renewals and/or Redeterminations,"25,473","Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations","3,790","Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations","29,263","Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",600852,,"1,290,980",,42.2373,-71.5314,"(42.2373, -71.5314)",1146087,,144893,
MD,Maryland,7/1/2017,Y,U,Y,"7,250",,85553,Includes Renewals and/or Redeterminations,"92,803",Includes Renewals and/or Redeterminations,"25,473","Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations","3,790","Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations","29,263","Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",608867,,"1,306,788",,42.2373,-71.5314,"(42.2373, -71.5314)",1161097,,145691,
MA,Massachusetts,7/1/2017,Y,P,N,"19,722",,5759,,"25,481",,,,,,,,651264,,"1,621,297",,31.1801,-91.8749,"(31.1801, -91.8749)",1516712,,104585,
MA,Massachusetts,7/1/2017,Y,U,Y,"22,441",,6227,,"28,668",,,,,,,,677640,,"1,627,506",,31.1801,-91.8749,"(31.1801, -91.8749)",1454257,,173249,
MI,Michigan,7/1/2017,Y,P,N,"43,214",,N/A,,"43,214",,"42,696",Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,"1,017",,"43,713",,949277,Does Not Include All Full-Benefit Child Medicaid enrollees,"2,358,312",Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2304688,Does Not Include All Full-Benefit Medicaid enrollees,53624,
MI,Michigan,7/1/2017,Y,U,Y,"44,384",,N/A,,"44,384",,"42,618",Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,"1,013",,"43,631",,959107,Does Not Include All Full-Benefit Child Medicaid enrollees,"2,380,232",Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2325893,Does Not Include All Full-Benefit Medicaid enrollees,54339,
MN,Minnesota,7/1/2017,Y,P,N,"4,116",,19716,,"23,832",,"26,556",,38,,"26,594",,512579,,"1,044,472",,43.3504,-84.5603,"(43.3504, -84.5603)",1043165,,1307,
MN,Minnesota,7/1/2017,Y,U,Y,"5,702",,22013,,"27,715",,"26,556",,38,,"26,594",,523949,,"1,065,061",,43.3504,-84.5603,"(43.3504, -84.5603)",1063615,,1446,
MS,Mississippi,7/1/2017,N,P,N,"16,488",,N/A,,"16,488",,"11,318",,382,,"11,700",,453810,,"672,073",,38.4623,-92.302,"(38.4623, -92.302)",592394,,79679,
MS,Mississippi,7/1/2017,N,U,Y,"16,488",,N/A,,"16,488",,"11,318",,382,,"11,700",,459584,,"681,976",,38.4623,-92.302,"(38.4623, -92.302)",601740,,80236,
MO,Missouri,7/1/2017,N,P,Y,"18,407",,N/A,,"18,407",,"8,542","Includes CHIP; Count is of Households, Not Individuals",,,"8,542","Count is of Households, Not Individuals",625497,,"967,477",,45.7326,-93.9196,"(45.7326, -93.9196)",938952,,28525,
